policy,epoch,rows,runs,merges,total_ms,host_build_ms,upload_ms,uploaded_bytes,merge_host_read_write_bytes,tracked_peak_device_bytes,old_epoch_logical_bytes,cuda_observed_used_bytes,host_maxrss_kib,old_epoch_complete_checks,post_release_device_bytes,process
all_delta,1,997438,2,0,0.051754000000000001,0,0.050133999999999998,24528,0,42943628,41867868,645791744,268308,2,42943628,3
all_delta,2,1078191,3,0,1.6716439999999999,0,1.669772,3391626,0,46335254,41892396,649986048,268308,2,46335254,3
all_delta,3,1078393,4,0,0.038031000000000002,0,0.037109000000000003,8484,0,46343738,45284022,649986048,268308,2,46343738,3
all_delta,4,1082005,5,0,0.105128,0,0.10427500000000001,151704,0,46495442,45292506,649986048,268308,2,46495442,3
all_delta,5,1082439,6,0,0.091264999999999999,0,0.090438000000000004,18228,0,46513670,45444210,649986048,268308,2,46513670,3
all_delta,6,1082990,7,0,0.044484999999999997,0,0.043839999999999997,23142,0,46536812,45462438,649986048,268308,2,46536812,3
periodic2,0,996854,1,0,17.565075,0,17.564330999999999,41867868,0,42919100,0,645791744,268308,0,42919100,3
periodic2,1,997438,2,0,0.050234000000000001,0,0.049383000000000003,24528,0,42943628,41867868,645791744,268308,2,42943628,3
periodic2,2,1078191,1,1,37.916054000000003,28.307964999999999,9.446155000000001,48675648,90568044,91619276,41892396,696123392,268308,2,46335254,3
periodic2,3,1078393,2,0,0.041071000000000003,0,0.040260999999999998,8484,0,46343738,45284022,652083200,268308,2,46343738,3
periodic2,4,1082005,1,1,37.501268000000003,28.907641999999999,8.5559820000000002,45595914,90888420,91939652,45292506,702414848,268308,2,46495442,3
periodic2,5,1082439,2,0,0.041477,0,0.040231999999999997,18228,0,46513670,45444210,652083200,268308,2,46513670,3
periodic2,6,1082990,1,1,34.679011000000003,26.793991999999999,7.844341,45508722,90971160,92022392,45462438,702414848,274488,2,46536812,3
size_tiered,0,996854,1,0,9.0304380000000002,0,9.0295039999999993,41867868,0,42919100,0,645791744,274488,0,42919100,3
size_tiered,1,997438,2,0,0.104605,0,0.102218,24528,0,42943628,41867868,645791744,274488,2,42943628,3
size_tiered,2,1078191,2,1,4.3760820000000002,1.88476,2.3476490000000001,6807780,6832308,49751408,41892396,652083200,274488,2,46335254,3
size_tiered,3,1078393,3,0,0.043679999999999997,0,0.042597000000000003,8484,0,46343738,45284022,652083200,274488,2,46343738,3
size_tiered,4,1082005,3,1,0.22928399999999999,0.068162,0.14513100000000001,311892,320376,46655630,45292506,652083200,274488,2,46495442,3
size_tiered,5,1082439,4,0,0.041375000000000002,0,0.040751999999999997,18228,0,46513670,45444210,652083200,274488,2,46513670,3
size_tiered,6,1082990,4,1,0.1137,0.016219999999999998,0.081998000000000001,64512,82740,46578182,45462438,652083200,274488,2,46536812,3
