policy,epoch,threshold,query,service_ms,kernel_ms,hits,overflow,cpu_complete_match,process
periodic2,2,80,4,0.041369999999999997,0.0099520003423094749,2,0,1,0
periodic2,2,80,5,0.040781999999999999,0.0091519998386502266,1,0,1,0
periodic2,2,80,6,0.042775000000000001,0.011359999887645245,1,0,1,0
periodic2,2,80,7,0.037409999999999999,0.0091199995949864388,1,0,1,0
periodic2,3,70,0,0.039287000000000002,0.0071999998763203621,1,0,1,0
periodic2,3,70,1,0.041229000000000002,0.0090239997953176498,1,0,1,0
periodic2,3,70,2,0.041397999999999997,0.008832000195980072,1,0,1,0
periodic2,3,70,3,0.043895000000000003,0.011136000044643879,1,0,1,0
periodic2,3,70,4,0.043078999999999999,0.011520000174641609,2,0,1,0
periodic2,3,70,5,0.043012000000000002,0.010944000445306301,1,0,1,0
periodic2,3,70,6,0.038683000000000002,0.011744000017642975,2,0,1,0
periodic2,3,70,7,0.043221000000000002,0.011231999844312668,7,0,1,0
periodic2,3,80,0,0.041924000000000003,0.0092160003259778023,1,0,1,0
periodic2,3,80,1,0.041614999999999999,0.0090239997953176498,1,0,1,0
periodic2,3,80,2,0.040570000000000002,0.0090239997953176498,1,0,1,0
periodic2,3,80,3,0.041582000000000001,0.010143999941647053,1,0,1,0
periodic2,3,80,4,0.041404000000000003,0.0096960002556443214,2,0,1,0
periodic2,3,80,5,0.04061,0.0089600002393126488,1,0,1,0
periodic2,3,80,6,0.043705000000000001,0.01119999960064888,1,0,1,0
periodic2,3,80,7,0.043057999999999999,0.011520000174641609,1,0,1,0
periodic2,4,70,0,0.049119000000000003,0.0098240002989768982,1,0,1,0
periodic2,4,70,1,0.041563000000000003,0.0090560000389814377,1,0,1,0
periodic2,4,70,2,0.041438000000000003,0.0098559996113181114,1,0,1,0
periodic2,4,70,3,0.037485999999999998,0.009503999724984169,1,0,1,0
periodic2,4,70,4,0.036423999999999998,0.0092479996383190155,2,0,1,0
periodic2,4,70,5,0.043709999999999999,0.011711999773979187,1,0,1,0
periodic2,4,70,6,0.042958000000000003,0.01119999960064888,2,0,1,0
periodic2,4,70,7,0.043912,0.01142400037497282,7,0,1,0
periodic2,4,80,0,0.038855000000000001,0.0074240001849830151,1,0,1,0
periodic2,4,80,1,0.038199999999999998,0.0067839999683201313,1,0,1,0
