mode,policy,rotation,cap_mib,interval_ms,window_ms,start_ms,drain_finished_ms,scheduled_batches,completed_batches,dropped_batches,coverage_pass,cpu_complete_match,window_completed_batches,completion_fraction,window_queries_per_s,p99_response_ms,p50_response_ms,max_response_ms,p99_service_ms,mean_service_ms,p99_queue_ms,max_waiting_batches,max_maintenance_backlog,max_publication_lag_ms,max_maintenance_queue_ms,uploaded_bytes,merged_host_rw_bytes,merges,deferred,end_runs,peak_vram_bytes,host_maxrss_kib,case_name,technical_pass
growth,tier4,1,1280,0.54,8000,836.992959,8836.967316,14815,14815,0,True,True,14815,1.0,14815.0,0.991583,0.445109,6.684664,0.934523,0.39712944319946053,0.45206,11,1,43.333848999999645,0.0981339999998,70686882,72652860,4,0,3,1277034496,835660,test_r1_cap1280_tier4_growth,True
shadow,tier4,1,1280,0.54,8000,917.720319,8917.650787,14815,14815,0,True,True,14815,1.0,14815.0,0.869572,0.376123999999,6.929352,0.81319,0.3247635897401302,0.330136,11,1,42.58092799999986,0.0844729999999,70686882,72652860,4,0,3,1277034496,834744,test_r1_cap1280_tier4_shadow,True
growth,all_delta,1,2048,0.54,8000,872.212976,8872.189024,14815,14815,0,True,True,14815,1.0,14815.0,0.993941,0.444254999999,7.48168,0.935733,0.39721779419507053,0.454369,12,1,10.556322000000364,0.108303,34360452,0,0,0,7,2082340864,834668,test_r1_cap2048_all_delta_growth,True
shadow,all_delta,1,2048,0.54,8000,832.021494,8831.950405,14815,14815,0,True,True,14815,1.0,14815.0,0.868939,0.373134,6.617789,0.812441,0.32116174168072625,0.329756,11,1,10.905697000000146,0.171702999999,34360452,0,0,0,7,2082340864,835740,test_r1_cap2048_all_delta_shadow,True
growth,compact,1,2048,0.54,8000,937.380874,8937.34337,14815,14815,0,True,True,14815,1.0,14815.0,17.643643,0.437298999999,22.817699,0.934692999999,0.39376893445831535,17.105788,41,1,560.7745810000001,0.0726009999998,2586180240,5103639576,6,0,1,2082340864,1459100,test_r1_cap2048_compact_growth,False
shadow,compact,1,2048,0.54,8000,941.440758,8941.371427,14815,14815,0,True,True,14815,1.0,14815.0,4.655182,0.377293,15.975939,0.816617,0.32897553911576094,4.115493,28,1,544.8719289999999,0.0734140000004,2586180240,5103639576,6,0,1,2082340864,1457780,test_r1_cap2048_compact_shadow,False
growth,periodic6,1,2048,0.54,8000,911.977227,8911.941677,14815,14815,0,True,True,14815,1.0,14815.0,0.992289,0.439692999998,6.434942,0.934457,0.39503739480256417,0.452902999999,10,1,562.3985069999999,0.158605000001,466098318,863475732,1,0,1,2082340864,1040280,test_r1_cap2048_periodic6_growth,True
shadow,periodic6,1,2048,0.54,8000,921.81382,8921.743178,14815,14815,0,True,True,14815,1.0,14815.0,0.870654,0.374614999999,6.773986,0.813357,0.3229749312183596,0.331614,11,1,544.0789909999994,0.127860000001,466098318,863475732,1,0,1,2082340864,1037032,test_r1_cap2048_periodic6_shadow,True
static_base,all_delta,1,2048,0.54,8000,892.916569,8892.845398,14815,14815,0,True,True,14815,1.0,14815.0,0.870269,0.375736999999,5.83708,0.813512,0.32198396969287635,0.330828,9,0,0,0,0,0,0,0,1,2082340864,835696,test_r1_cap2048_static_base,True
static_final,all_delta,1,2048,0.54,8000,1330.727413,9330.693009,14815,14815,0,True,True,14815,1.0,14815.0,2.203289,0.451097,7.893945,0.935808,0.4145388901788632,1.663501,13,0,0,0,0,0,0,0,1,2082340864,1042216,test_r1_cap2048_static_final,True
growth,tier4,1,2048,0.54,8000,914.073541,8914.048749,14815,14815,0,True,True,14815,1.0,14815.0,0.993887,0.446121,6.947285,0.936475,0.39717777502531404,0.454415,11,1,41.5516719999996,0.0840970000004,70686882,72652860,4,0,3,2082340864,835720,test_r1_cap2048_tier4_growth,True
shadow,tier4,1,2048,0.54,8000,837.588969,8837.525909,14815,14815,0,True,True,14815,1.0,14815.0,0.868308999999,0.374213,6.088237,0.812265,0.3226090520418549,0.328772,10,1,45.122417999999925,0.0846030000002,70686882,72652860,4,0,3,2082340864,835672,test_r1_cap2048_tier4_shadow,True
growth,all_delta,2,1280,0.54,8000,831.217337,8831.19495,14815,14815,0,True,True,14815,1.0,14815.0,0.995812,0.446125999999,6.759864,0.937012,0.3981768246371975,0.456332,11,1,11.082351000000017,0.0994620000001,34360452,0,0,0,7,1277034496,835684,test_r2_cap1280_all_delta_growth,True
shadow,all_delta,2,1280,0.54,8000,823.995931,8823.933923,14815,14815,0,True,True,14815,1.0,14815.0,0.869334999999,0.375553,6.980579,0.812421000001,0.323688007492406,0.329792,11,1,9.823847000000114,0.143637,34360452,0,0,0,7,1277034496,835744,test_r2_cap1280_all_delta_shadow,True
growth,compact,2,1280,0.54,8000,826.228063,8826.204989,14815,14815,0,True,True,14815,1.0,14815.0,0.993738999998,0.446877,6.954821,0.93557,0.39774026493418774,0.454194999999,11,1,10.261449000000084,0.12897,34360452,0,0,6,7,1277034496,835672,test_r2_cap1280_compact_growth,True
shadow,compact,2,1280,0.54,8000,908.349613,8908.28818,14815,14815,0,True,True,14815,1.0,14815.0,0.870712,0.376668,6.891731,0.813333999999,0.32441884927438897,0.331208999999,11,1,8.806250999999975,0.117233,34360452,0,0,6,7,1277034496,835720,test_r2_cap1280_compact_shadow,True
growth,periodic6,2,1280,0.54,8000,844.200356,8844.179038,14815,14815,0,True,True,14815,1.0,14815.0,0.992931,0.445771,7.32961,0.935507,0.3976765962200496,0.454057,12,1,10.856090000000222,0.115769,34360452,0,0,1,7,1277034496,834720,test_r2_cap1280_periodic6_growth,True
