rotation,mode,policy,batch,epoch,status,rows,runs,merges,deferred,begin_ms,ready_ms,published_ms,writer_done_ms,host_build_ms,metadata_ms,staging_ms,h2d_ms,uploaded_bytes,merge_host_rw_bytes,shared_bytes,current_only_bytes,retired_only_bytes,reader_only_at_publish_bytes,unreferenced_at_publish_bytes,live_at_publish_bytes,last_reader_device_done_ms,old_epoch_owner_released_ms,exclusive_actual_reclaim_ms,lifecycle_ms,arrival_ms,maintenance_queue_ms,other_held_at_publish_bytes,cap_mib
0,sequential,all_delta,8,1,published,9466817,2,0,0,1988.740908,1988.820001,1988.820495,1988.820761,0,0.0112879999999,0.017059,0.0406789999997,228900,0,0,441229312,0,0,0,508541440,1988.723938,1988.827435,1988.820761,0.0865269999999,1988.740908,0,0,1280
0,sequential,all_delta,8,2,published,10232664,3,0,0,2005.194236,2016.23435,2016.236355,2016.236824,0,6.78817,3.108359,1.102569,32165574,0,0,473394944,0,0,0,540707072,2005.177572,2016.243473,2016.236824,11.049237,2005.194236,0,0,1280
0,sequential,all_delta,8,3,published,10234444,4,0,0,2035.550102,2035.624121,2035.624694,2035.624968,0,0.00400300000001,0.0243319999997,0.0347859999999,74760,0,0,473469952,0,0,0,540782080,2035.53207,2035.63141,2035.624968,0.081308,2035.550102,0,0,1280
0,sequential,all_delta,8,4,published,10269993,5,0,0,2055.015842,2055.360765,2055.361653,2055.363888,0,0.105362,0.137976,0.0852440000003,1493058,0,0,474963200,0,0,0,542275328,2054.999151,2055.370551,2055.363888,0.354709,2055.015842,0,0,1280
0,sequential,all_delta,8,5,published,10274223,6,0,0,2074.764688,2074.853234,2074.854029,2074.854418,0,0.0118649999999,0.0285360000003,0.0375730000001,177660,0,0,475140864,0,0,0,542452992,2074.744735,2074.861193,2074.854418,0.096505,2074.764688,0,0,1280
0,sequential,all_delta,8,6,published,10279473,7,0,0,2094.57962,2095.014339,2095.015327,2095.015681,0,0.0156780000002,0.0426400000006,0.0356390000002,220500,0,0,475361536,0,0,0,542673664,2094.274368,2095.023383,2095.015681,0.443763,2094.57962,0,0,1280
0,sequential,periodic2,8,0,published,9461367,1,0,0,2115.19758,2269.549481,2269.550358,2269.550863,0,29.81778,111.57959,12.91783,397377414,0,0,441000192,0,0,0,508312320,0,2269.550863,2269.550863,154.353283,2115.19758,0,0,1280
0,sequential,periodic2,8,1,published,9466817,2,0,0,2285.94012,2286.038123,2286.038639,2286.038828,0,0.0155840000002,0.0317810000001,0.040845,228900,0,0,441229312,0,0,0,508541440,2285.923048,2286.045276,2286.038828,0.105156,2285.94012,0,0,1280
0,sequential,periodic2,8,2,published_merge_deferred,10232664,3,0,1,2302.417478,2308.882738,2308.88362,2308.883954,0,2.087223,3.299312,1.054403,32165574,0,0,473394944,0,0,0,540707072,2302.401724,2308.890515,2308.883954,6.473037,2302.417478,0,0,1280
0,sequential,periodic2,8,3,published,10234444,4,0,0,2328.186725,2328.239155,2328.239717,2328.240096,0,0.00368599999956,0.00558000000001,0.0341139999996,74760,0,0,473469952,0,0,0,540782080,2328.169809,2328.246571,2328.240096,0.0598460000001,2328.186725,0,0,1280
0,sequential,periodic2,8,4,published_merge_deferred,10269993,5,0,1,2347.635077,2347.970995,2347.972234,2347.972641,0,0.0918630000001,0.134319,0.090099,1493058,0,0,474963200,0,0,0,542275328,2347.619054,2347.979095,2347.972641,0.344018,2347.635077,0,0,1280
0,sequential,periodic2,8,5,published,10274223,6,0,0,2367.376046,2367.446238,2367.446941,2367.447409,0,0.00872600000002,0.0153089999999,0.0372980000002,177660,0,0,475140864,0,0,0,542452992,2367.360015,2367.454223,2367.447409,0.0781770000003,2367.376046,0,0,1280
0,sequential,periodic2,8,6,published_merge_deferred,10279473,7,0,1,2386.906085,2386.988147,2386.989088,2386.98949,0,0.0109619999998,0.0200849999997,0.040602,220500,0,0,475361536,0,0,0,542673664,2386.887806,2386.996251,2386.98949,0.090166,2386.906085,0,0,1280
0,sequential,size_tiered,8,0,published,9461367,1,0,0,2406.521499,2489.621447,2489.622299,2489.622762,0,25.894737,44.368245,12.800499,397377414,0,0,441000192,0,0,0,508312320,0,2489.622762,2489.622762,83.101263,2406.521499,0,0,1280
0,sequential,size_tiered,8,1,published,9466817,2,0,0,2505.910622,2505.992138,2505.992565,2505.992867,0,0.0110350000004,0.0193260000001,0.0417360000001,228900,0,0,441229312,0,0,0,508541440,2505.894355,2505.998824,2505.992867,0.0882019999999,2505.910622,0,0,1280
0,sequential,size_tiered,8,2,published,10232664,2,1,0,2522.393425,2556.561012,2556.562019,2556.562414,21.609547,4.189814,6.204462,2.113092,64560048,64788948,0,473394688,229120,0,229120,540935936,2522.376739,2556.570454,2556.570266,34.177029,2522.393425,0,229120,1280
0,sequential,size_tiered,8,3,published,10234444,3,0,0,2575.737377,2575.789838,2575.79034,2575.790586,0,0.00316199999997,0.00570199999993,0.0335409999998,74760,0,0,473469696,0,0,0,540781824,2575.717861,2575.797219,2575.790586,0.0598420000001,2575.737377,0,0,1280
0,sequential,size_tiered,8,4,published,10269993,3,1,0,2594.965438,2596.633797,2596.63455,2596.63485,0.999124,0.184997,0.268794,0.179693,3060876,3135636,0,474962688,75008,0,75008,542349824,2594.948992,2596.642338,2596.642186,1.6769,2594.965438,0,75008,1280
