rotation,mode,policy,batch,epoch,status,rows,runs,merges,deferred,begin_ms,ready_ms,published_ms,writer_done_ms,host_build_ms,metadata_ms,staging_ms,h2d_ms,uploaded_bytes,merge_host_rw_bytes,shared_bytes,current_only_bytes,retired_only_bytes,reader_only_at_publish_bytes,unreferenced_at_publish_bytes,live_at_publish_bytes,last_reader_device_done_ms,old_epoch_owner_released_ms,exclusive_actual_reclaim_ms,lifecycle_ms,arrival_ms,maintenance_queue_ms,other_held_at_publish_bytes,cap_mib
0,sequential,all_delta,8,5,published,10274223,6,0,0,2117.605188,2120.813227,2120.815362,2120.816117,0,0.0106889999997,0.026175,0.0441279999995,177660,0,0,475140864,0,0,0,542452992,2117.248387,2120.82253,2120.816117,3.217342,2117.605188,0,0,1280
0,sequential,all_delta,8,6,published,10279473,7,0,0,2140.189705,2143.481814,2143.48417,2143.484941,0,0.0138739999998,0.0302240000001,0.0439459999998,220500,0,0,475361536,0,0,0,542673664,2140.167602,2143.491836,2143.484941,3.302131,2140.189705,0,0,1280
0,sequential,periodic2,8,0,published,9461367,1,0,0,2162.973144,2303.663258,2303.664341,2303.66485,0,30.220389,98.663991,8.542721,397377414,0,0,441000192,0,0,0,508312320,0,2303.66485,2303.66485,140.691706,2162.973144,0,0,1280
0,sequential,periodic2,8,1,published,9466817,2,0,0,2319.859174,2323.120721,2323.122054,2323.122533,0,0.0112049999998,0.0179600000001,0.0459150000002,228900,0,0,441229312,0,0,0,508541440,2319.839298,2323.129378,2323.122533,3.270204,2319.859174,0,0,1280
0,sequential,periodic2,8,2,published_merge_deferred,10232664,3,0,1,2339.333843,2348.119965,2348.121224,2348.12172,0,2.08738,2.73993,0.729661000001,32165574,0,0,473394944,0,0,0,540707072,2339.311756,2348.127979,2348.12172,8.794136,2339.333843,0,0,1280
0,sequential,periodic2,8,3,published,10234444,4,0,0,2367.179213,2370.382683,2370.384212,2370.38531,0,0.00349800000004,0.00499500000024,0.0385449999994,74760,0,0,473469952,0,0,0,540782080,2367.162453,2370.391994,2370.38531,3.212781,2367.179213,0,0,1280
0,sequential,periodic2,8,4,published_merge_deferred,10269993,5,0,1,2389.608914,2393.056746,2393.059036,2393.059833,0,0.0908909999998,0.109897,0.0891800000004,1493058,0,0,474963200,0,0,0,542275328,2389.590909,2393.067157,2393.059833,3.458243,2389.608914,0,0,1280
0,sequential,periodic2,8,5,published,10274223,6,0,0,2412.357137,2415.914297,2415.916402,2415.917087,0,0.00876000000017,0.0154780000003,0.0435859999998,177660,0,0,475140864,0,0,0,542452992,2412.340871,2415.923204,2415.917087,3.566067,2412.357137,0,0,1280
0,sequential,periodic2,8,6,published_merge_deferred,10279473,7,0,1,2435.28085,2438.489952,2438.492341,2438.49304,0,0.010428,0.017859,0.0458279999998,220500,0,0,475361536,0,0,0,542673664,2435.260216,2438.49941,2438.49304,3.21856,2435.28085,0,0,1280
0,sequential,size_tiered,8,0,published,9461367,1,0,0,2457.896381,2531.648013,2531.649055,2531.649515,0,25.876129,36.045458,8.596567,397377414,0,0,441000192,0,0,0,508312320,0,2531.649515,2531.649515,73.753134,2457.896381,0,0,1280
